Opentime,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1698710400000,34474.74000000,34600.00000000,34202.33000000,34209.33000000,5051.31409000,1698724799999,173812396.10855010,167682,2064.78875000,71059684.62035430,0
1698724800000,34209.32000000,34352.25000000,34082.89000000,34145.21000000,5057.82579000,1698739199999,173144196.60574680,176650,2490.33343000,85250337.69155940,0
1698739200000,34145.22000000,34535.75000000,34025.00000000,34488.27000000,5689.43440000,1698753599999,195447206.78261420,211196,2938.16008000,100932622.05290290,0
1698753600000,34488.26000000,34514.00000000,34130.00000000,34272.19000000,6831.14765000,1698767999999,234210512.12323210,262001,3084.01092000,105724249.24754380,0
1698768000000,34272.19000000,34588.00000000,34223.26000000,34540.30000000,4824.38383000,1698782399999,166084783.65120560,184970,2539.44020000,87430295.78092220,0
1698782400000,34540.30000000,34720.49000000,34430.00000000,34639.77000000,5283.79246000,1698796799999,182743349.21713940,176554,2727.06162000,94325714.10356550,0
1698796800000,34639.78000000,34668.05000000,34400.00000000,34418.40000000,3748.08595000,1698811199999,129364968.47331200,140548,1645.50057000,56792789.10650440,0
1698811200000,34418.39000000,34498.57000000,34316.00000000,34451.28000000,3216.51258000,1698825599999,110687955.66105380,124265,1493.83099000,51406565.88711380,0
1698825600000,34451.28000000,34493.48000000,34345.00000000,34424.07000000,3350.79713000,1698839999999,115337806.71591430,125521,1325.79162000,45631846.25613850,0
1698840000000,34424.07000000,35200.00000000,34097.39000000,34291.94000000,18986.89718000,1698854399999,656416623.43275720,497686,9020.50014000,312063008.50462640,0
1698854400000,34291.94000000,34738.07000000,34280.02000000,34557.67000000,9620.10712000,1698868799999,332054741.50346950,317858,4857.54209000,167675338.24317450,0
1698868800000,34557.67000000,35582.00000000,34540.00000000,35421.43000000,14550.88169000,1698883199999,512486724.69294680,418757,7435.83749000,261818343.47010890,0
1698883200000,35421.43000000,35984.99000000,35362.00000000,35571.68000000,9449.66438000,1698897599999,336647156.71809210,281738,4730.90116000,168557580.07136860,0
1698897600000,35571.68000000,35600.00000000,35063.25000000,35279.85000000,6885.55379000,1698911999999,243027671.65954310,210480,3136.41426000,110700482.67496690,0
1698912000000,35279.86000000,35478.02000000,35095.00000000,35373.56000000,5508.48405000,1698926399999,194593765.67393860,175768,2714.26250000,95873120.63354280,0
1698926400000,35373.56000000,35457.96000000,34537.99000000,34640.01000000,12490.69697000,1698940799999,436366506.49743380,359134,5998.30935000,209567040.30565280,0
1698940800000,34640.01000000,35017.42000000,34300.00000000,35000.01000000,8717.23406000,1698955199999,302252232.22602980,260776,4494.37166000,155868299.26938620,0
1698955200000,35000.00000000,35097.19000000,34706.51000000,34941.59000000,4963.94407000,1698969599999,173254365.31713360,162941,2229.09457000,77799196.00001380,0
1698969600000,34941.58000000,34946.50000000,34366.70000000,34681.92000000,6231.00684000,1698983999999,215639385.73202440,204071,2972.02509000,102825020.03259380,0
1698984000000,34681.91000000,34696.40000000,34310.00000000,34464.97000000,5176.71251000,1698998399999,178403315.99737600,169499,2456.51347000,84649970.04600440,0
1698998400000,34464.98000000,34626.12000000,34120.00000000,34252.40000000,9096.58315000,1699012799999,312080581.61739890,255913,4758.50525000,163236311.17981880,0
1699012800000,34252.39000000,34848.79000000,34150.68000000,34763.71000000,8827.89146000,1699027199999,305138784.85436710,270139,4535.15438000,156727215.20531620,0
1699027200000,34763.71000000,34822.15000000,34323.37000000,34530.71000000,6448.30059000,1699041599999,222739159.06407320,216669,2945.21197000,101741535.92062890,0
1699041600000,34530.71000000,34740.00000000,34485.65000000,34716.78000000,3290.71189000,1699055999999,113961604.30062270,121082,1501.44653000,51996115.39057250,0
1699056000000,34716.78000000,34786.68000000,34632.47000000,34708.90000000,2289.85455000,1699070399999,79470552.40219430,114897,1069.23306000,37110003.16504150,0
1699070400000,34708.91000000,35000.00000000,34585.18000000,34767.99000000,4121.79956000,1699084799999,143368228.24161690,173829,2207.38133000,76796126.40133550,0
1699084800000,34767.99000000,34884.93000000,34680.13000000,34712.37000000,2852.30152000,1699099199999,99211287.64154230,125793,1263.43467000,43944182.52958320,0
1699099200000,34712.37000000,34803.97000000,34644.00000000,34709.91000000,2652.63136000,1699113599999,92095117.02629990,128067,1265.31531000,43927716.96486000,0
